rank_group,n,Player 1 win rate,Naive baseline accuracy,Logistic regression accuracy
Best 10%,4309.0,0.7558598282664192,0.7558598282664192,0.7978649338593641
10-25%,6465.0,0.6185614849187935,0.6185614849187935,0.6929621036349575
25-40%,6465.0,0.5339520494972931,0.5339520494972931,0.6620262954369683
40-55%,6465.0,0.47625676720804333,0.5237432327919567,0.6576952822892498
55-70%,6465.0,0.4442382057231245,0.5557617942768756,0.6581593194122196
70-85%,6465.0,0.40015467904098995,0.59984532095901,0.660015467904099
85-100%,6465.0,0.34493426140757927,0.6550657385924208,0.6875483372003094
